date_key,entity_key,segment_key,account_key,scenario_key,amount_myr
202301,1,1,1,1,25436815.35
202301,1,1,1,2,27048000.0
202301,1,1,1,3,26081289.21
202301,1,1,8,1,8438951.8
202301,1,1,8,2,7832750.0
202301,1,1,8,3,8196471.08
202301,1,1,9,1,6026644.43
202301,1,1,9,2,5713300.0
202301,1,1,9,3,5901306.66
202301,1,1,10,1,1726870.6
202301,1,1,10,2,1658700.0
202301,1,1,10,3,1699602.36
202301,1,1,14,1,1926375.72
202301,1,1,14,2,1935150.0
202301,1,1,14,3,1929885.43
202301,1,1,15,1,7522019.73
202301,1,1,15,2,7556300.0
202301,1,1,15,3,7535731.84
202301,1,1,16,1,1362026.91
202301,1,1,16,2,1382250.0
202301,1,1,16,3,1370116.15
202301,1,1,17,1,1772616.12
202301,1,1,17,2,1658700.0
202301,1,1,17,3,1727049.67
202301,1,1,18,1,1151527.11
202301,1,1,18,2,1105800.0
202301,1,1,18,3,1133236.27
202301,1,1,19,1,436395.1
202301,1,1,19,2,414675.0
202301,1,1,19,3,427707.06
202301,1,1,20,1,615029.76
202301,1,1,20,2,626620.0
202301,1,1,20,3,619665.85
202301,1,1,21,1,218821.12
202301,1,1,21,2,202730.0
202301,1,1,21,3,212384.67
202301,1,1,22,1,176684.77
202301,1,1,22,2,165870.0
202301,1,1,22,3,172358.86
202301,1,1,23,1,295255.11
202301,1,1,23,2,294880.0
202301,1,1,23,3,295105.07
202301,1,1,24,1,128768.27
202301,1,1,24,2,129010.0
202301,1,1,24,3,128864.96
202301,1,1,25,1,1287892.8
202301,1,1,25,2,1290100.0
202301,1,1,25,3,1288775.68
202301,1,1,26,1,353933.14
202301,1,1,26,2,350170.0
202301,1,1,26,3,352427.89
202301,1,1,27,1,399987.78
202301,1,1,27,2,387030.0
202301,1,1,27,3,394804.67
202301,2,1,1,1,2923964.61
202301,2,1,1,2,3091200.0
202301,2,1,1,3,2990858.77
202301,2,1,8,1,539496.73
202301,2,1,8,2,534470.0
202301,2,1,8,3,537486.04
202301,2,1,9,1,403462.93
202301,2,1,9,2,387030.0
202301,2,1,9,3,396889.76
202301,2,1,10,1,109890.23
202301,2,1,10,2,110580.0
202301,2,1,10,3,110166.14
202301,2,1,15,1,632572.54
202301,2,1,15,2,626620.0
202301,2,1,15,3,630191.53
202301,2,1,16,1,168714.79
202301,2,1,16,2,165870.0
202301,2,1,16,3,167576.87
202301,2,1,17,1,141874.0
202301,2,1,17,2,138225.0
202301,2,1,17,3,140414.4
202301,2,1,18,1,117251.01
202301,2,1,18,2,110580.0
202301,2,1,18,3,114582.6
202301,2,1,19,1,41466.11
202301,2,1,19,2,41467.5
202301,2,1,19,3,41466.66
202301,2,1,20,1,85621.7
202301,2,1,20,2,82935.0
202301,2,1,20,3,84547.02
202301,2,1,22,1,364336.17
202301,2,1,22,2,350170.0
202301,2,1,22,3,358669.7
202301,2,1,25,1,77087.59
202301,2,1,25,2,78327.5
202301,2,1,25,3,77583.55
202301,2,1,26,1,57613.01
202301,2,1,26,2,55290.0
202301,2,1,26,3,56683.8
202301,3,2,2,1,4003596.99
202301,3,2,2,2,4347000.0
202301,3,2,2,3,4140958.19
202301,3,2,3,1,16279717.81
202301,3,2,3,2,17871000.0
202301,3,2,3,3,16916230.69
202301,3,2,11,1,6749980.06
202301,3,2,11,2,6266200.0
202301,3,2,11,3,6556468.03
202301,3,2,12,1,2386164.1
202301,3,2,12,2,2211600.0
202301,3,2,12,3,2316338.46
202301,3,2,14,1,1175157.3
202301,3,2,14,2,1105800.0
202301,3,2,14,3,1147414.38
202301,3,2,15,1,2980602.59
202301,3,2,15,2,2948800.0
202301,3,2,15,3,2967881.55
202301,3,2,16,1,775012.02
202301,3,2,16,2,783275.0
202301,3,2,16,3,778317.21
202301,3,2,17,1,628876.39
202301,3,2,17,2,598975.0
202301,3,2,17,3,616915.83
202301,3,2,18,1,547702.4
202301,3,2,18,2,534470.0
202301,3,2,18,3,542409.44
202301,3,2,19,1,201100.6
202301,3,2,19,2,202730.0
202301,3,2,19,3,201752.36
202301,3,2,20,1,398807.56
202301,3,2,20,2,387030.0
202301,3,2,20,3,394096.54
202301,3,2,21,1,163038.04
202301,3,2,21,2,165870.0
202301,3,2,21,3,164170.83
202301,3,2,23,1,672442.1
202301,3,2,23,2,626620.0
202301,3,2,23,3,654113.26
202301,3,2,24,1,389375.32
202301,3,2,24,2,387030.0
202301,3,2,24,3,388437.19
202301,3,2,25,1,1737791.31
202301,3,2,25,2,1658700.0
202301,3,2,25,3,1706154.79
202301,3,2,26,1,167780.26
202301,3,2,26,2,165870.0
202301,3,2,26,3,167016.16
202301,3,2,27,1,228457.55
202301,3,2,27,2,221160.0
202301,3,2,27,3,225538.53
202301,4,2,4,1,7579238.23
202301,4,2,4,2,7921200.0
202301,4,2,4,3,7716022.94
202301,4,2,13,1,3128207.99
202301,4,2,13,2,3133100.0
202301,4,2,13,3,3130164.79
202301,4,2,15,1,1840029.5
202301,4,2,15,2,1704775.0
202301,4,2,15,3,1785927.7
202301,4,2,16,1,312364.04
202301,4,2,16,2,294880.0
202301,4,2,16,3,305370.42
202301,4,2,17,1,376865.91
202301,4,2,17,2,350170.0
202301,4,2,17,3,366187.55
202301,4,2,18,1,414753.61
202301,4,2,18,2,387030.0
202301,4,2,18,3,403664.17
202301,4,2,19,1,268604.14
202301,4,2,19,2,258020.0
202301,4,2,19,3,264370.48
202301,4,2,20,1,118809.37
202301,4,2,20,2,110580.0
202301,4,2,20,3,115517.62
202301,4,2,23,1,200399.49
202301,4,2,23,2,202730.0
202301,4,2,23,3,201331.7
202301,4,2,24,1,78295.06
202301,4,2,24,2,78327.5
202301,4,2,24,3,78308.04
202301,4,2,25,1,344582.71
202301,4,2,25,2,350170.0
202301,4,2,25,3,346817.62
202301,4,2,26,1,130676.89
202301,4,2,26,2,129010.0
202301,4,2,26,3,130010.14
